icb_ons_code,appointment_month,appointment_status,hcp_type,appointment_mode,time_between_book_and_appointment,count_of_appointments
E54000043,7-20,Unknown,Other Practice staff,Telephone,15  to 21 Days,114
E54000041,9-21,Unknown,Other Practice staff,Face-to-Face,22  to 28 Days,1478
E54000029,3-21,Attended,Unknown,Face-to-Face,8  to 14 Days,49
E54000038,6-22,DNA,Other Practice staff,Face-to-Face,2 to 7 Days,1192
E54000057,5-22,Unknown,GP,Home Visit,2 to 7 Days,13
E54000061,7-20,Unknown,Other Practice staff,Home Visit,2 to 7 Days,10
E54000025,1-20,DNA,Unknown,Unknown,2 to 7 Days,11
E54000015,3-21,Unknown,Other Practice staff,Face-to-Face,Same Day,330
E54000059,1-20,DNA,Unknown,Telephone,Same Day,6
E54000041,3-20,Unknown,Unknown,Unknown,Unknown / Data Quality,1
E54000056,5-22,Attended,GP,Home Visit,15  to 21 Days,2
E54000026,7-21,DNA,Other Practice staff,Telephone,22  to 28 Days,4
E54000055,2-21,Unknown,GP,Video/Online,15  to 21 Days,1
E54000062,6-22,DNA,Unknown,Unknown,1 Day,8
E54000013,7-21,Unknown,Unknown,Unknown,1 Day,26
E54000053,2-20,Attended,Unknown,Unknown,More than 28 Days,124
E54000029,5-22,Unknown,Unknown,Telephone,2 to 7 Days,37
E54000015,12-21,Unknown,GP,Telephone,2 to 7 Days,85
E54000051,2-20,Attended,Unknown,Home Visit,8  to 14 Days,1
E54000053,2-21,DNA,GP,Face-to-Face,22  to 28 Days,45
E54000025,6-22,DNA,GP,Face-to-Face,Same Day,219
E54000050,6-22,DNA,Other Practice staff,Telephone,1 Day,87
E54000057,1-22,Attended,GP,Telephone,1 Day,2018
E54000010,1-22,Unknown,GP,Telephone,Same Day,225
E54000043,4-20,Unknown,GP,Video/Online,15  to 21 Days,5
E54000057,2-22,Attended,GP,Video/Online,More than 28 Days,2
E54000061,2-22,Attended,GP,Home Visit,22  to 28 Days,5
E54000032,7-20,DNA,Other Practice staff,Telephone,15  to 21 Days,158
E54000051,4-20,DNA,Other Practice staff,Face-to-Face,More than 28 Days,315
E54000008,2-21,DNA,Other Practice staff,Telephone,More than 28 Days,9
E54000050,2-20,DNA,GP,Face-to-Face,8  to 14 Days,1015
E54000061,5-21,Unknown,GP,Telephone,2 to 7 Days,99
E54000032,8-20,Unknown,Other Practice staff,Telephone,1 Day,276
E54000055,5-22,Unknown,Unknown,Face-to-Face,More than 28 Days,1
E54000015,8-21,DNA,Other Practice staff,Video/Online,22  to 28 Days,10
E54000060,1-20,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,1522
E54000027,3-22,Unknown,Other Practice staff,Face-to-Face,More than 28 Days,1332
E54000026,8-20,DNA,Unknown,Unknown,2 to 7 Days,10
E54000008,1-21,DNA,GP,Unknown,2 to 7 Days,2
E54000043,2-21,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,17103
E54000054,1-20,Attended,Unknown,Unknown,2 to 7 Days,1665
E54000054,3-20,Attended,Unknown,Unknown,15  to 21 Days,63
E54000037,10-21,Unknown,Unknown,Face-to-Face,8  to 14 Days,158
E54000010,6-22,Unknown,Other Practice staff,Face-to-Face,1 Day,39
E54000057,5-21,Unknown,Other Practice staff,Home Visit,15  to 21 Days,4
E54000044,5-22,DNA,GP,Face-to-Face,15  to 21 Days,160
E54000057,2-21,Attended,GP,Video/Online,8  to 14 Days,1
E54000053,3-21,Unknown,Other Practice staff,Unknown,8  to 14 Days,18
E54000053,2-21,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,1363
E54000010,4-22,DNA,GP,Telephone,22  to 28 Days,21
E54000031,1-20,DNA,GP,Face-to-Face,2 to 7 Days,4130
E54000057,9-20,Unknown,Unknown,Face-to-Face,More than 28 Days,9
E54000057,1-21,DNA,Other Practice staff,Home Visit,Same Day,46
E54000037,7-21,Attended,Other Practice staff,Video/Online,22  to 28 Days,172
E54000054,12-21,Unknown,Unknown,Home Visit,Same Day,39
E54000010,3-22,DNA,GP,Telephone,Same Day,231
E54000056,6-21,Unknown,Other Practice staff,Video/Online,8  to 14 Days,8
E54000062,12-20,Unknown,Other Practice staff,Face-to-Face,More than 28 Days,1286
E54000036,4-22,Attended,Other Practice staff,Telephone,22  to 28 Days,1124
E54000055,2-20,DNA,Other Practice staff,Video/Online,Same Day,14
E54000054,3-20,Attended,GP,Home Visit,Same Day,107
E54000023,7-20,Attended,Other Practice staff,Face-to-Face,Same Day,17076
E54000008,2-22,Attended,Unknown,Unknown,1 Day,108
E54000061,11-20,Unknown,Other Practice staff,Home Visit,2 to 7 Days,65
E54000051,3-21,DNA,Unknown,Telephone,1 Day,2
E54000048,4-21,DNA,GP,Telephone,8  to 14 Days,53
E54000057,12-20,Attended,GP,Home Visit,15  to 21 Days,2
E54000051,4-22,DNA,GP,Telephone,8  to 14 Days,15
E54000053,5-20,DNA,GP,Telephone,1 Day,15
E54000027,5-21,Unknown,Other Practice staff,Home Visit,22  to 28 Days,28
E54000026,1-21,Unknown,Other Practice staff,Telephone,15  to 21 Days,10
E54000029,7-20,Attended,Unknown,Unknown,1 Day,34
E54000052,4-21,Unknown,GP,Telephone,1 Day,422
E54000050,3-21,Unknown,GP,Face-to-Face,22  to 28 Days,39
E54000061,11-21,DNA,GP,Unknown,Same Day,281
E54000054,4-21,Attended,Other Practice staff,Face-to-Face,More than 28 Days,13520
E54000048,2-20,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,5974
E54000057,9-20,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,3427
E54000048,5-22,Unknown,GP,Home Visit,Unknown / Data Quality,2
E54000015,2-22,DNA,Other Practice staff,Face-to-Face,22  to 28 Days,273
E54000025,9-21,Attended,GP,Home Visit,2 to 7 Days,5
E54000010,4-20,Attended,Other Practice staff,Face-to-Face,More than 28 Days,387
E54000050,4-22,Unknown,GP,Home Visit,15  to 21 Days,2
E54000023,7-20,Attended,Other Practice staff,Telephone,15  to 21 Days,305
E54000008,2-21,Attended,Other Practice staff,Home Visit,22  to 28 Days,3
E54000056,12-21,DNA,GP,Telephone,2 to 7 Days,113
E54000051,8-21,Attended,GP,Face-to-Face,Same Day,9400
E54000061,8-20,Attended,GP,Home Visit,Same Day,51
E54000010,10-20,Attended,Other Practice staff,Telephone,22  to 28 Days,229
E54000054,7-20,DNA,GP,Telephone,More than 28 Days,3
E54000048,9-21,DNA,Other Practice staff,Face-to-Face,Unknown / Data Quality,1
E54000015,6-20,Unknown,GP,Face-to-Face,1 Day,114
E54000026,11-20,DNA,Other Practice staff,Telephone,1 Day,6
E54000022,3-22,Unknown,GP,Face-to-Face,More than 28 Days,473
E54000025,9-21,Attended,GP,Face-to-Face,1 Day,8027
E54000048,5-21,Attended,Unknown,Face-to-Face,22  to 28 Days,2
E54000057,4-20,DNA,GP,Face-to-Face,2 to 7 Days,39
E54000039,11-20,Attended,Unknown,Home Visit,8  to 14 Days,6
E54000059,10-21,Unknown,Other Practice staff,Telephone,22  to 28 Days,126
E54000031,7-21,DNA,Other Practice staff,Home Visit,1 Day,4
E54000053,4-21,Attended,Other Practice staff,Video/Online,Same Day,24
E54000026,7-21,Unknown,GP,Telephone,22  to 28 Days,38
E54000050,4-21,Attended,Other Practice staff,Home Visit,22  to 28 Days,2
E54000031,12-20,Unknown,GP,Face-to-Face,2 to 7 Days,945
E54000025,11-20,DNA,GP,Telephone,More than 28 Days,1
E54000008,6-20,Unknown,Unknown,Face-to-Face,2 to 7 Days,21
E54000059,9-20,Attended,Unknown,Unknown,15  to 21 Days,274
E54000028,10-20,Attended,Other Practice staff,Home Visit,Unknown / Data Quality,5
E54000044,1-21,Attended,Other Practice staff,Telephone,8  to 14 Days,1374
E54000050,3-21,Attended,Other Practice staff,Home Visit,Unknown / Data Quality,2
E54000015,1-20,Attended,GP,Home Visit,Same Day,28
E54000055,3-20,DNA,GP,Face-to-Face,1 Day,876
E54000044,9-21,DNA,GP,Unknown,15  to 21 Days,3
E54000052,10-21,DNA,Other Practice staff,Home Visit,8  to 14 Days,1
E54000010,12-20,Unknown,GP,Face-to-Face,1 Day,28
E54000053,11-21,Unknown,Unknown,Unknown,22  to 28 Days,96
E54000010,11-20,Unknown,Other Practice staff,Telephone,15  to 21 Days,7
E54000023,9-20,Attended,Other Practice staff,Face-to-Face,1 Day,5270
E54000022,12-20,Attended,Unknown,Unknown,More than 28 Days,234
E54000054,5-22,Attended,GP,Home Visit,22  to 28 Days,1
E54000057,8-21,DNA,Unknown,Home Visit,8  to 14 Days,11
E54000019,11-20,Attended,GP,Face-to-Face,Same Day,37317
E54000025,11-20,Attended,Other Practice staff,Home Visit,More than 28 Days,4
E54000026,1-21,Unknown,Unknown,Unknown,1 Day,18
E54000038,1-22,DNA,Unknown,Face-to-Face,2 to 7 Days,7
E54000057,5-22,Unknown,Other Practice staff,Telephone,8  to 14 Days,11
E54000026,2-20,DNA,Other Practice staff,Video/Online,2 to 7 Days,23
E54000051,6-21,Unknown,Unknown,Telephone,8  to 14 Days,1
E54000013,2-20,DNA,Unknown,Unknown,8  to 14 Days,89
E54000011,7-21,DNA,GP,Home Visit,2 to 7 Days,2
E54000050,11-21,DNA,GP,Video/Online,2 to 7 Days,3
E54000050,11-20,DNA,GP,Face-to-Face,8  to 14 Days,65
E54000008,3-22,Attended,Unknown,Face-to-Face,15  to 21 Days,25
E54000058,1-22,Unknown,GP,Home Visit,8  to 14 Days,3
E54000050,5-20,DNA,GP,Face-to-Face,More than 28 Days,51
E54000054,6-22,Attended,Unknown,Unknown,Same Day,1917
E54000038,9-21,Unknown,Other Practice staff,Telephone,2 to 7 Days,213
E54000042,12-21,Unknown,GP,Unknown,8  to 14 Days,62
E54000028,5-20,Unknown,GP,Home Visit,2 to 7 Days,20
E54000028,1-21,Unknown,Unknown,Telephone,Same Day,28
E54000056,11-21,DNA,Other Practice staff,Face-to-Face,Unknown / Data Quality,1
E54000048,7-20,Attended,Other Practice staff,Face-to-Face,1 Day,3085
E54000038,1-20,Unknown,Other Practice staff,Face-to-Face,Unknown / Data Quality,3
E54000043,11-20,Unknown,GP,Face-to-Face,1 Day,83
E54000054,3-20,Unknown,GP,Video/Online,8  to 14 Days,24
E54000048,4-20,Attended,GP,Telephone,Same Day,7897
E54000008,6-22,Attended,GP,Telephone,2 to 7 Days,11847
E54000039,2-20,Unknown,GP,Telephone,Same Day,567
E54000050,7-21,Unknown,Other Practice staff,Face-to-Face,More than 28 Days,355
E54000024,4-22,DNA,GP,Telephone,1 Day,26
E54000057,6-22,Attended,Unknown,Face-to-Face,8  to 14 Days,66
E54000053,1-20,Attended,Other Practice staff,Telephone,22  to 28 Days,100
E54000030,10-20,DNA,Other Practice staff,Unknown,1 Day,994
E54000058,12-21,DNA,GP,Home Visit,1 Day,9
E54000008,11-20,DNA,Unknown,Telephone,8  to 14 Days,15
E54000010,7-20,Unknown,GP,Face-to-Face,2 to 7 Days,58
E54000041,3-20,Attended,Other Practice staff,Face-to-Face,Unknown / Data Quality,13
E54000060,4-21,Unknown,GP,Face-to-Face,22  to 28 Days,172
E54000013,3-22,Unknown,Other Practice staff,Face-to-Face,Unknown / Data Quality,7
E54000044,6-21,DNA,GP,Telephone,2 to 7 Days,564
E54000057,8-21,Unknown,Other Practice staff,Telephone,Unknown / Data Quality,1
E54000044,6-21,Unknown,Other Practice staff,Face-to-Face,More than 28 Days,315
E54000008,4-21,Attended,Other Practice staff,Home Visit,8  to 14 Days,1
E54000051,1-22,Unknown,Other Practice staff,Telephone,22  to 28 Days,14
E54000044,8-20,Unknown,Other Practice staff,Unknown,1 Day,76
E54000057,7-20,Unknown,Unknown,Telephone,Same Day,175
E54000050,3-22,DNA,Other Practice staff,Video/Online,8  to 14 Days,1
E54000051,5-20,Attended,Unknown,Home Visit,Same Day,55
E54000055,12-21,Unknown,Other Practice staff,Video/Online,2 to 7 Days,2
E54000053,1-21,DNA,Other Practice staff,Face-to-Face,Same Day,458
E54000050,8-20,Attended,Other Practice staff,Video/Online,Same Day,1
E54000034,2-21,Unknown,GP,Home Visit,2 to 7 Days,18
E54000026,10-21,Attended,Other Practice staff,Telephone,More than 28 Days,305
E54000061,3-20,Unknown,GP,Video/Online,Same Day,6
E54000051,2-22,Unknown,Other Practice staff,Face-to-Face,8  to 14 Days,389
E54000031,5-22,DNA,Unknown,Telephone,15  to 21 Days,5
E54000053,4-22,Unknown,Other Practice staff,Home Visit,15  to 21 Days,2
E54000050,1-22,Attended,GP,Home Visit,1 Day,6
E54000057,2-22,Unknown,Other Practice staff,Telephone,15  to 21 Days,72
E54000048,7-21,Attended,GP,Video/Online,1 Day,7
E54000026,9-21,DNA,Unknown,Unknown,1 Day,11
E54000061,5-22,Attended,GP,Face-to-Face,More than 28 Days,699
E54000023,4-22,Unknown,GP,Telephone,22  to 28 Days,23
E54000032,3-20,Attended,Other Practice staff,Unknown,2 to 7 Days,10732
E54000042,1-21,DNA,Other Practice staff,Telephone,22  to 28 Days,7
E54000024,2-22,DNA,GP,Face-to-Face,1 Day,302
E54000032,11-20,Attended,GP,Home Visit,15  to 21 Days,4
E54000053,2-21,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,1932
E54000038,1-20,Attended,Other Practice staff,Home Visit,1 Day,182
E54000023,3-20,Attended,GP,Telephone,15  to 21 Days,561
E54000053,6-20,Attended,Other Practice staff,Unknown,2 to 7 Days,2
E54000044,4-22,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,4714
E54000037,11-21,DNA,Other Practice staff,Video/Online,More than 28 Days,16
E54000023,1-22,Attended,GP,Home Visit,15  to 21 Days,1
E54000044,12-21,DNA,Unknown,Home Visit,1 Day,2
E54000061,10-21,Unknown,Unknown,Telephone,Unknown / Data Quality,1
E54000018,2-22,Attended,GP,Face-to-Face,15  to 21 Days,2331
E54000041,7-21,Unknown,GP,Face-to-Face,More than 28 Days,136
E54000042,1-21,Attended,GP,Unknown,22  to 28 Days,54
E54000015,12-20,DNA,Other Practice staff,Video/Online,2 to 7 Days,8
E54000008,1-22,Attended,Unknown,Home Visit,1 Day,85
E54000051,12-20,DNA,Unknown,Unknown,8  to 14 Days,29
E54000050,2-22,Unknown,GP,Unknown,Unknown / Data Quality,2
E54000010,8-21,Attended,Other Practice staff,Telephone,Same Day,4178
E54000051,5-21,DNA,Other Practice staff,Face-to-Face,More than 28 Days,144
E54000054,3-22,Attended,Unknown,Unknown,22  to 28 Days,30
E54000008,2-20,Unknown,Unknown,Telephone,1 Day,2
E54000056,6-22,Unknown,Unknown,Unknown,15  to 21 Days,96
E54000051,6-22,Attended,Unknown,Unknown,More than 28 Days,160
E54000048,3-20,Unknown,GP,Telephone,2 to 7 Days,140
E54000051,4-22,Unknown,Unknown,Face-to-Face,1 Day,31
E54000008,3-21,Unknown,GP,Face-to-Face,15  to 21 Days,16
E54000053,12-21,Unknown,Unknown,Video/Online,Same Day,1
E54000022,7-20,DNA,Other Practice staff,Telephone,More than 28 Days,5
E54000042,2-21,Attended,Unknown,Telephone,15  to 21 Days,2
E54000050,3-20,Attended,GP,Home Visit,15  to 21 Days,1
E54000008,1-22,Unknown,GP,Home Visit,Unknown / Data Quality,1
E54000029,1-20,Attended,GP,Face-to-Face,More than 28 Days,7245
E54000048,9-21,Unknown,Other Practice staff,Face-to-Face,8  to 14 Days,1650
E54000024,5-22,Attended,Other Practice staff,Telephone,1 Day,2975
E54000061,6-21,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,3051
E54000032,5-21,Unknown,Unknown,Telephone,1 Day,24
E54000030,8-20,Unknown,Unknown,Face-to-Face,22  to 28 Days,5
E54000061,4-22,Attended,Unknown,Telephone,Same Day,405
E54000057,6-22,Attended,Other Practice staff,Telephone,1 Day,914
E54000043,7-21,Unknown,Other Practice staff,Face-to-Face,2 to 7 Days,1101
E54000025,1-21,DNA,GP,Telephone,8  to 14 Days,16
E54000019,5-21,DNA,Other Practice staff,Telephone,1 Day,225
E54000061,5-22,Unknown,Other Practice staff,Video/Online,22  to 28 Days,5
E54000008,7-21,DNA,Other Practice staff,Face-to-Face,8  to 14 Days,323
E54000050,5-20,DNA,GP,Face-to-Face,1 Day,214
E54000061,12-20,DNA,GP,Face-to-Face,8  to 14 Days,384
E54000010,2-22,DNA,Other Practice staff,Telephone,Same Day,203
E54000008,1-22,DNA,Other Practice staff,Face-to-Face,More than 28 Days,174
E54000061,6-21,Attended,GP,Face-to-Face,8  to 14 Days,5425
E54000008,4-22,Unknown,Other Practice staff,Telephone,Same Day,52
E54000060,9-20,Attended,Unknown,Face-to-Face,22  to 28 Days,45
E54000053,6-22,Unknown,Other Practice staff,Face-to-Face,More than 28 Days,1287
E54000051,9-20,Unknown,Other Practice staff,Telephone,22  to 28 Days,38
E54000044,7-20,Attended,Unknown,Home Visit,2 to 7 Days,20
E54000008,12-20,Unknown,GP,Telephone,1 Day,35
E54000008,10-20,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,8040
E54000026,1-20,DNA,GP,Telephone,15  to 21 Days,1
E54000023,12-20,Attended,Unknown,Unknown,2 to 7 Days,662
E54000061,11-20,Attended,Unknown,Unknown,More than 28 Days,50
E54000057,1-20,Unknown,Unknown,Face-to-Face,2 to 7 Days,3
E54000056,3-22,Unknown,Unknown,Unknown,22  to 28 Days,103
E54000024,7-21,Attended,GP,Face-to-Face,1 Day,11443
E54000057,6-20,Unknown,Other Practice staff,Face-to-Face,1 Day,62
E54000050,5-21,DNA,Unknown,Home Visit,2 to 7 Days,1
E54000048,1-22,Attended,Unknown,Telephone,2 to 7 Days,96
E54000048,4-22,Attended,Other Practice staff,Telephone,15  to 21 Days,194
E54000060,9-20,DNA,Unknown,Unknown,2 to 7 Days,213
E54000022,9-21,Unknown,Other Practice staff,Telephone,22  to 28 Days,117
E54000023,6-22,Unknown,Other Practice staff,Face-to-Face,Same Day,104
E54000060,7-20,DNA,Other Practice staff,Telephone,1 Day,50
E54000015,5-20,Unknown,Other Practice staff,Face-to-Face,2 to 7 Days,951
E54000030,11-20,Unknown,Other Practice staff,Face-to-Face,More than 28 Days,628
E54000008,4-22,Attended,GP,Home Visit,Same Day,198
E54000048,9-20,DNA,Other Practice staff,Telephone,8  to 14 Days,80
E54000010,5-20,Unknown,GP,Telephone,More than 28 Days,4
E54000050,9-21,Attended,Other Practice staff,Telephone,Same Day,11389
E54000044,5-22,Unknown,Unknown,Telephone,Same Day,111
E54000050,12-20,Attended,GP,Video/Online,1 Day,3
E54000023,5-20,DNA,GP,Face-to-Face,8  to 14 Days,5
E54000050,6-22,Unknown,Unknown,Unknown,More than 28 Days,39
E54000051,1-20,DNA,GP,Telephone,2 to 7 Days,27
E54000008,8-21,Attended,Other Practice staff,Telephone,22  to 28 Days,70
E54000025,1-20,DNA,Other Practice staff,Face-to-Face,Same Day,504
E54000044,2-20,Attended,Unknown,Telephone,15  to 21 Days,6
E54000050,8-21,Unknown,Unknown,Unknown,22  to 28 Days,19
E54000039,5-20,DNA,GP,Telephone,8  to 14 Days,97
E54000057,12-21,DNA,Unknown,Face-to-Face,15  to 21 Days,1
E54000043,10-20,Attended,Unknown,Unknown,22  to 28 Days,362
E54000015,1-21,Attended,Unknown,Unknown,More than 28 Days,29
E54000037,4-21,Attended,Unknown,Unknown,2 to 7 Days,3840
E54000054,11-21,Attended,Other Practice staff,Video/Online,2 to 7 Days,279
E54000050,1-21,Unknown,Other Practice staff,Home Visit,Same Day,183
E54000025,1-20,Unknown,Other Practice staff,Face-to-Face,More than 28 Days,363
E54000023,2-20,DNA,Other Practice staff,Unknown,Same Day,6
E54000054,2-21,Attended,GP,Video/Online,8  to 14 Days,1
E54000048,11-21,Unknown,Unknown,Telephone,1 Day,1
E54000050,5-21,Attended,Unknown,Telephone,1 Day,15
E54000027,6-21,Unknown,Other Practice staff,Face-to-Face,Unknown / Data Quality,25
E54000022,3-21,Attended,Other Practice staff,Telephone,1 Day,6203
E54000010,3-21,Unknown,Unknown,Telephone,15  to 21 Days,2
E54000013,5-22,Attended,GP,Telephone,Same Day,42526
E54000027,6-22,Unknown,GP,Telephone,2 to 7 Days,1498
E54000008,4-20,Unknown,Unknown,Telephone,8  to 14 Days,20
E54000027,6-22,DNA,Other Practice staff,Telephone,1 Day,1366
E54000008,1-21,Unknown,Unknown,Home Visit,Same Day,10
E54000059,10-21,DNA,Unknown,Unknown,22  to 28 Days,2
E54000048,1-22,Attended,Unknown,Telephone,15  to 21 Days,2
E54000051,11-20,DNA,GP,Face-to-Face,22  to 28 Days,48
E54000051,11-21,Attended,Unknown,Unknown,22  to 28 Days,54
E54000026,8-21,DNA,Unknown,Unknown,More than 28 Days,1
E54000008,1-21,DNA,Unknown,Face-to-Face,8  to 14 Days,2
E54000050,5-20,DNA,Other Practice staff,Telephone,22  to 28 Days,25
E54000053,8-20,Attended,Unknown,Face-to-Face,2 to 7 Days,7
E54000048,3-21,Unknown,Other Practice staff,Face-to-Face,Same Day,337
E54000057,11-21,DNA,Unknown,Face-to-Face,1 Day,2
E54000015,3-21,Attended,GP,Home Visit,2 to 7 Days,14
E54000026,4-21,DNA,Other Practice staff,Face-to-Face,22  to 28 Days,221
E54000061,4-22,DNA,Unknown,Unknown,1 Day,6
E54000011,8-21,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,18464
E54000050,6-21,Attended,GP,Video/Online,2 to 7 Days,312
E54000013,5-22,Attended,Other Practice staff,Telephone,15  to 21 Days,1305
E54000054,2-20,DNA,Unknown,Unknown,Same Day,15
E54000057,12-21,Attended,Unknown,Home Visit,8  to 14 Days,1
E54000015,9-21,Unknown,Unknown,Unknown,15  to 21 Days,114
E54000057,5-21,Unknown,GP,Telephone,Same Day,213
E54000042,1-22,Attended,Other Practice staff,Video/Online,Same Day,877
E54000062,11-20,DNA,Unknown,Face-to-Face,8  to 14 Days,1
E54000029,11-20,DNA,GP,Telephone,Unknown / Data Quality,1
E54000030,2-21,Attended,GP,Face-to-Face,More than 28 Days,482
E54000025,4-22,Attended,GP,Telephone,1 Day,1448
E54000044,2-20,Unknown,Unknown,Telephone,Unknown / Data Quality,2
E54000051,5-22,Unknown,Other Practice staff,Telephone,15  to 21 Days,32
E54000026,11-20,Attended,GP,Video/Online,Same Day,22
E54000043,2-21,Attended,GP,Unknown,1 Day,98
E54000061,7-21,Attended,Unknown,Unknown,More than 28 Days,21
E54000025,11-21,Attended,Other Practice staff,Telephone,2 to 7 Days,3868
E54000026,4-21,Attended,GP,Face-to-Face,Same Day,14828
E54000031,5-22,Attended,Unknown,Telephone,22  to 28 Days,5
E54000023,3-22,Unknown,Other Practice staff,Face-to-Face,More than 28 Days,389
E54000029,8-20,Unknown,Unknown,Home Visit,Same Day,4
E54000051,2-20,Attended,GP,Face-to-Face,8  to 14 Days,4677
E54000015,10-21,Attended,GP,Face-to-Face,1 Day,4751
E54000055,5-21,DNA,GP,Home Visit,Unknown / Data Quality,1
E54000057,3-20,Unknown,GP,Face-to-Face,8  to 14 Days,218
E54000030,1-21,DNA,Other Practice staff,Telephone,1 Day,341
E54000023,7-21,Attended,GP,Face-to-Face,Same Day,15104
E54000023,2-20,Attended,Unknown,Face-to-Face,Same Day,1801
E54000051,8-21,Attended,Other Practice staff,Telephone,2 to 7 Days,1655
E54000050,4-20,DNA,Other Practice staff,Face-to-Face,8  to 14 Days,256
E54000050,1-21,Attended,Other Practice staff,Telephone,1 Day,1365
E54000032,12-21,Attended,GP,Telephone,1 Day,18235
E54000036,4-20,Attended,Unknown,Home Visit,Same Day,197
E54000048,4-21,Unknown,Other Practice staff,Home Visit,More than 28 Days,2
E54000008,5-21,Unknown,GP,Telephone,Same Day,288
E54000048,3-22,Attended,Unknown,Home Visit,2 to 7 Days,7
E54000008,9-21,Attended,Other Practice staff,Telephone,1 Day,1615
E54000048,5-21,Attended,Other Practice staff,Telephone,22  to 28 Days,210
E54000048,10-21,Unknown,Other Practice staff,Telephone,2 to 7 Days,109
E54000026,12-21,Unknown,GP,Telephone,Same Day,30
E54000057,5-21,Unknown,Other Practice staff,Unknown,More than 28 Days,510
E54000010,2-20,Unknown,Other Practice staff,Telephone,2 to 7 Days,21
E54000053,6-22,Attended,Unknown,Telephone,Same Day,1368
E54000053,1-22,DNA,GP,Face-to-Face,More than 28 Days,64
E54000050,11-20,DNA,GP,Face-to-Face,Same Day,179
E54000013,7-20,Unknown,GP,Unknown,8  to 14 Days,16
E54000053,11-20,DNA,GP,Face-to-Face,8  to 14 Days,215
E54000057,10-21,Unknown,Other Practice staff,Face-to-Face,15  to 21 Days,646
E54000051,12-20,Unknown,Other Practice staff,Video/Online,More than 28 Days,4
E54000015,5-21,Unknown,Unknown,Unknown,8  to 14 Days,57
E54000050,9-20,DNA,Unknown,Telephone,Same Day,13
E54000048,10-20,DNA,Other Practice staff,Face-to-Face,15  to 21 Days,292
E54000061,2-22,Unknown,Other Practice staff,Face-to-Face,2 to 7 Days,360
E54000052,4-20,Unknown,Unknown,Unknown,22  to 28 Days,17
E54000054,11-21,Unknown,Other Practice staff,Home Visit,22  to 28 Days,3
E54000030,9-20,DNA,GP,Face-to-Face,15  to 21 Days,884
E54000054,1-21,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,4894
E54000053,9-21,Attended,GP,Telephone,Unknown / Data Quality,10
E54000034,1-22,Attended,GP,Face-to-Face,More than 28 Days,610
E54000025,6-20,DNA,Unknown,Unknown,2 to 7 Days,1
E54000055,9-21,Unknown,Unknown,Home Visit,8  to 14 Days,1
E54000048,11-21,DNA,Other Practice staff,Face-to-Face,More than 28 Days,189
E54000026,1-22,DNA,Unknown,Unknown,8  to 14 Days,7
E54000048,1-20,Attended,Other Practice staff,Face-to-Face,1 Day,1822
E54000029,10-20,Attended,GP,Home Visit,15  to 21 Days,2
E54000015,6-21,DNA,Other Practice staff,Face-to-Face,8  to 14 Days,920
E54000054,6-22,DNA,Other Practice staff,Face-to-Face,Same Day,684
E54000043,10-21,DNA,Other Practice staff,Face-to-Face,8  to 14 Days,3494
E54000053,11-21,Attended,Unknown,Home Visit,8  to 14 Days,3
E54000010,9-21,Unknown,Unknown,Face-to-Face,8  to 14 Days,1
E54000052,12-20,Unknown,GP,Home Visit,8  to 14 Days,6
E54000054,12-21,Unknown,Other Practice staff,Face-to-Face,22  to 28 Days,514
E54000062,4-22,Attended,Unknown,Unknown,22  to 28 Days,31
E54000054,12-21,Unknown,Other Practice staff,Telephone,1 Day,56
E54000026,5-20,Unknown,Unknown,Unknown,8  to 14 Days,32
E54000015,7-21,Unknown,GP,Face-to-Face,8  to 14 Days,167
E54000053,3-22,Unknown,Other Practice staff,Telephone,8  to 14 Days,227
E54000053,8-20,DNA,GP,Face-to-Face,More than 28 Days,72
E54000050,6-21,Attended,GP,Face-to-Face,15  to 21 Days,3139
E54000025,4-20,Unknown,GP,Unknown,22  to 28 Days,17
E54000060,7-21,DNA,Other Practice staff,Face-to-Face,1 Day,566
E54000008,2-21,Unknown,GP,Video/Online,Same Day,32
E54000008,2-21,Attended,Unknown,Face-to-Face,8  to 14 Days,12
E54000048,5-22,Unknown,Other Practice staff,Telephone,More than 28 Days,31
E54000008,5-22,Attended,GP,Face-to-Face,2 to 7 Days,2457
E54000040,2-22,Attended,Unknown,Unknown,1 Day,1233
E54000010,6-21,DNA,GP,Face-to-Face,More than 28 Days,3
E54000030,7-20,Attended,GP,Face-to-Face,15  to 21 Days,973
E54000050,1-22,Unknown,GP,Telephone,Same Day,259
E54000008,2-21,Unknown,GP,Telephone,22  to 28 Days,37
E54000057,12-21,Attended,GP,Unknown,More than 28 Days,48
E54000048,4-20,DNA,GP,Face-to-Face,2 to 7 Days,51
E54000060,3-20,Unknown,Other Practice staff,Face-to-Face,22  to 28 Days,266
